,dcp,rsi,stochrsi,willr,roc
1999-11-30,54.7697410508843,56.2044,0.0,-39.4783,10.0833
1999-12-01,54.9610578253683,56.8234,14.7226,-37.3913,6.6186
1999-12-02,55.9442134720221,59.9555,89.2214,-26.6667,10.8105
1999-12-03,59.4516876708949,68.6838,100.0,-4.9383,16.6893
1999-12-06,61.6465162226138,72.6945,100.0,-2.0938,23.3255
1999-12-07,61.976006223114,73.2484,100.0,-9.6726,23.2509
1999-12-08,62.858189127679,74.7267,100.0,-9.9125,26.1653
1999-12-09,60.2488408979115,63.5422,0.0,-36.8421,15.6837
1999-12-10,57.9264678298699,55.5702,0.0,-64.5987,4.8682
1999-12-13,58.2984726691443,56.5114,4.9132,-61.1521,1.6965
1999-12-14,58.0593267010393,55.6946,0.6493,-63.3678,3.0077
1999-12-15,56.8635968605145,51.673,0.0,-75.6,2.3923
1999-12-16,58.0274405719587,55.0734,70.2803,-64.65,3.9905
1999-12-17,58.4579033145476,56.2982,95.5947,-60.6,5.5764
1999-12-20,58.0327549268055,54.7118,65.6995,-65.0226,5.9577
1999-12-21,58.5216755727089,56.239,98.7194,-64.0,6.4784
1999-12-22,57.3950323451922,51.896,0.0,-80.1362,2.5933
1999-12-23,57.7245223456924,53.0382,25.9457,-76.6175,-2.9052
1999-12-27,58.3250444433782,55.1294,74.4499,-70.2043,-5.3879
1999-12-28,58.3569305724589,55.2433,77.074,-69.8638,-5.8395
1999-12-29,57.9264678298699,53.2761,41.2306,-74.4608,-7.8458
1999-12-30,57.7936089587005,52.6529,0.0,-48.4848,-4.0752
1999-12-31,57.3259457321841,50.4172,0.0,-59.1515,-1.0367
2000-01-03,61.6465162226138,65.1428,100.0,-0.0,5.7429
2000-01-04,59.5526604129837,56.4007,40.6332,-34.2609,2.5721
2000-01-05,61.6465162226138,61.9061,78.0199,-26.7857,8.4112
2000-01-06,60.5836452532584,57.9087,50.8743,-43.7928,4.4052
2000-01-07,60.3179275109196,56.9192,5.9315,-47.6009,3.1818
2000-01-10,62.7093871919693,63.0404,100.0,-13.3283,8.0586
2000-01-11,63.240822676647,64.2558,100.0,-14.6207,8.0639
2000-01-12,63.5065404189858,64.8777,100.0,-16.2549,10.6481
2000-01-13,62.8422460631387,61.9746,63.5214,-24.3823,8.8658
2000-01-14,63.5703126771471,63.8822,65.7084,-22.109,8.9932
